date,areaType,areaCode,areaName,cumPeopleReceivingFirstDose,cumPeopleReceivingSecondDose,transmissionRateMax,transmissionRateMin,newPeopleReceivingFirstDose
"2021-03-04",nation,S92000003,Scotland,,,0.9,0.7,
"2021-02-25",nation,S92000003,Scotland,,,0.9,0.7,
"2021-02-17",nation,S92000003,Scotland,,,0.9,0.7,
"2021-02-10",nation,S92000003,Scotland,,,0.9,0.7,
"2021-02-03",nation,S92000003,Scotland,,,0.9,0.7,
"2021-01-28",nation,S92000003,Scotland,,,1,0.7,
"2021-01-21",nation,S92000003,Scotland,,,1.1,0.8,
"2021-02-22",nation,W92000004,Wales,,,0.9,0.7,
"2021-01-14",nation,S92000003,Scotland,,,1.4,1,
"2021-02-15",nation,W92000004,Wales,,,0.9,0.6,
"2021-02-11",nation,W92000004,Wales,,,0.9,0.7,
"2021-01-07",nation,S92000003,Scotland,,,1.3,0.9,
"2021-02-04",nation,W92000004,Wales,,,0.9,0.7,
"2021-01-29",nation,W92000004,Wales,,,0.9,0.7,
"2020-12-22",nation,S92000003,Scotland,,,1.1,0.9,
"2021-01-22",nation,W92000004,Wales,,,0.9,0.7,
"2021-01-15",nation,W92000004,Wales,,,1.1,0.8,
"2020-12-16",nation,S92000003,Scotland,,,1.1,0.9,
"2020-12-10",nation,S92000003,Scotland,,,0.9,0.7,
"2020-12-03",nation,S92000003,Scotland,,,1,0.8,
"2020-11-26",nation,S92000003,Scotland,,,1,0.8,
"2020-12-22",nation,W92000004,Wales,,,1.3,1,
"2020-12-16",nation,W92000004,Wales,,,1.3,1,
"2020-11-19",nation,S92000003,Scotland,,,1,0.8,
"2020-11-12",nation,S92000003,Scotland,,,1.1,0.8,
"2020-12-09",nation,W92000004,Wales,,,1.2,0.9,
"2020-11-05",nation,S92000003,Scotland,,,1.1,0.9,
"2020-10-29",nation,S92000003,Scotland,,,1.3,1,
"2020-12-03",nation,W92000004,Wales,,,1.1,0.8,
"2020-11-27",nation,W92000004,Wales,,,1,0.8,
"2020-11-20",nation,W92000004,Wales,,,1,0.8,
"2020-10-23",nation,S92000003,Scotland,,,1.5,1.2,
"2020-11-13",nation,W92000004,Wales,,,1.2,0.9,
"2020-10-16",nation,S92000003,Scotland,,,1.6,1.3,
"2020-11-06",nation,W92000004,Wales,,,1.3,1,
"2020-10-07",nation,S92000003,Scotland,,,1.6,1.3,
"2020-10-28",nation,W92000004,Wales,,,1.3,1,
"2020-09-30",nation,S92000003,Scotland,,,1.7,1.3,
"2020-09-23",nation,S92000003,Scotland,,,1.6,1.2,
"2020-10-23",nation,W92000004,Wales,,,1.4,1,
"2020-09-16",nation,S92000003,Scotland,,,1.4,1.1,
"2020-09-09",nation,S92000003,Scotland,,,1.5,1.1,
"2020-09-02",nation,S92000003,Scotland,,,1.4,0.9,
"2020-08-27",nation,S92000003,Scotland,,,1.2,0.8,
"2020-10-16",nation,W92000004,Wales,,,1.4,1.1,
"2020-10-09",nation,W92000004,Wales,,,1.4,1,
"2020-10-02",nation,W92000004,Wales,,,1.6,1.3,
"2020-09-25",nation,W92000004,Wales,,,1.4,1,
"2020-08-20",nation,S92000003,Scotland,,,1.2,0.8,
"2020-08-13",nation,S92000003,Scotland,,,1.3,0.6,
"2020-09-18",nation,W92000004,Wales,,,1.2,0.7,
"2020-09-11",nation,W92000004,Wales,,,1,0.7,
"2020-09-04",nation,W92000004,Wales,,,1,0.5,
"2020-08-05",nation,S92000003,Scotland,,,1,0.6,
"2020-07-29",nation,S92000003,Scotland,,,0.9,0.6,
"2020-08-28",nation,W92000004,Wales,,,0.9,0.5,
"2020-07-22",nation,S92000003,Scotland,,,0.9,0.6,
"2020-08-21",nation,W92000004,Wales,,,1,0.7,
"2020-08-14",nation,W92000004,Wales,,,1.1,0.8,
"2020-08-07",nation,W92000004,Wales,,,1.1,0.7,
"2020-07-15",nation,S92000003,Scotland,,,0.9,0.5,
"2020-07-08",nation,S92000003,Scotland,,,1,0.6,
"2020-07-31",nation,W92000004,Wales,,,0.9,0.7,
"2020-07-01",nation,S92000003,Scotland,,,0.8,0.6,
"2020-07-22",nation,W92000004,Wales,,,0.9,0.6,
"2020-07-15",nation,W92000004,Wales,,,0.9,0.6,
"2020-06-24",nation,S92000003,Scotland,,,0.8,0.6,
"2020-07-08",nation,W92000004,Wales,,,1,0.7,
"2020-06-17",nation,S92000003,Scotland,,,0.8,0.6,
"2020-07-01",nation,W92000004,Wales,,,0.9,0.7,
"2020-06-11",nation,S92000003,Scotland,,,0.9,0.6,
"2020-06-04",nation,S92000003,Scotland,,,0.8,0.6,
"2020-05-29",nation,S92000003,Scotland,,,0.9,0.6,
"2020-06-24",nation,W92000004,Wales,,,1,0.7,
"2020-06-17",nation,W92000004,Wales,,,1,0.7,
"2020-06-10",nation,W92000004,Wales,,,1,0.7,
"2020-06-03",nation,W92000004,Wales,,,0.9,0.7,
"2020-05-27",nation,W92000004,Wales,,,1,0.7,
"2021-03-05",nation,E92000001,England,,,0.9,0.7,
"2021-02-26",nation,E92000001,England,,,0.9,0.7,
"2021-02-19",nation,E92000001,England,,,0.9,0.7,
"2021-02-12",nation,E92000001,England,,,0.9,0.7,
"2021-02-05",nation,E92000001,England,,,0.9,0.7,
"2021-01-29",nation,E92000001,England,,,1,0.7,
"2021-01-22",nation,E92000001,England,,,1,0.8,
"2021-01-15",nation,E92000001,England,,,1.3,1.1,
"2021-01-08",nation,E92000001,England,,,1.4,1.1,
"2020-12-23",nation,E92000001,England,,,1.4,1.1,
"2020-12-18",nation,E92000001,England,,,1.3,1.1,
"2020-12-11",nation,E92000001,England,,,1,0.8,
"2020-12-04",nation,E92000001,England,,,1,0.8,
"2020-11-27",nation,E92000001,England,,,1,0.9,
"2020-11-20",nation,E92000001,England,,,1.1,1,
"2020-11-13",nation,E92000001,England,,,1.2,1.1,
"2020-11-06",nation,E92000001,England,,,1.3,1.1,
"2020-10-30",nation,E92000001,England,,,1.3,1.1,
"2020-10-23",nation,E92000001,England,,,1.4,1.2,
